"Machine.1"	"Machine.2"	"cost"
150	148	100
147	149	200
150	151	300
150	150	400
149	151	500
148	151	600
154	152	700
153	150	800
148	151	900
150	148	1000
149	151	100
152	152	200
148	150	300
151	150	400
152	150	500
144	151	600
149	153	700
154	152	800
150	150	900
150	154	1000
152	155	100
151	151	200
149	151	300
147	153	400
145	154	500
152	149	600
151	152	700
153	152	800
149	149	900
153	151	1000
151	151	100
147	148	200
148	153	300
150	150	400
151	151	500
150	152	600
149	152	700
152	149	800
149	150	900
150	153	1000
153	154	100
150	151	200
150	150	300
153	154	400
150	153	500
152	151	600
152	153	700
151	152	800
151	150	900
151	150	1000
152	150	100
154	149	200
148	150	300
148	150	400
152	152	500
147	152	600
152	152	700
150	151	800
152	149	900
153	150	1000
147	150	100
151	152	200
146	153	300
153	148	400
147	153	500
154	150	600
148	155	700
149	154	800
151	152	900
150	152	1000
150	152	100
151	149	200
150	150	300
153	150	400
152	154	500
150	152	600
149	150	700
150	150	800
147	152	900
152	153	1000
151	150	100
149	151	200
152	150	300
153	149	400
151	150	500
150	147	600
150	154	700
149	152	800
146	153	900
150	150	1000
153	152	100
147	152	200
153	151	300
146	152	400
150	150	500
152	151	600
149	151	700
149	151	800
151	152	900
150	155	1000
